"ul. Zwierzyniecka, Kraków, Poland"
"ul. Stolarska, Kraków, Poland"
"ul. Przy Torze, Kraków, Poland"
"ul. Grota Roweckiego Stefana, Kraków, Poland"
"ul. Kurkowa, Kraków, Poland"
"ul. Czechosłowacka, Kraków, Poland"
"ul. Myśliwska, Kraków, Poland"
"ul. Dominikański Plac, Kraków, Poland"
"ul. Michałowskiego Piotra, Kraków, Poland"
"ul. Ratajska, Kraków, Poland"
"ul. Olszańska, Kraków, Poland"
"ul. Zduńska, Kraków, Poland"
"ul. Zygmunta Augusta, Kraków, Poland"
"ul. Kołodziejska, Kraków, Poland"
"ul. Grębałowska, Kraków, Poland"
"ul. Stawowa, Kraków, Poland"
"ul. Beliny, Kraków, Poland"
"ul. Legionów Piłsudskiego, Kraków, Poland"
"ul. Koletek, Kraków, Poland"
"ul. Kupa, Kraków, Poland"
"ul. Paulińska, Kraków, Poland"
"ul. Czarodziejska, Kraków, Poland"
"ul. Konopnickiej Marii, Kraków, Poland"
"ul. Pijarska, Kraków, Poland"
"ul. Freege'go Emila, Kraków, Poland"
"ul. Turowicza Jerzego, Kraków, Poland"
"ul. Joselewewicza Berka, Kraków, Poland"
"ul. Bułgarska, Kraków, Poland"
"ul. Bursztynowa, Kraków, Poland"
"ul. Poselska, Kraków, Poland"
"ul. Łagiewnicki Plac, Kraków, Poland"
"ul. Łokietka, Kraków, Poland"
"ul. Sarego Józefa, Kraków, Poland"
"ul. Piasta Kołodzieja, Kraków, Poland"
"ul. Kijowska Al., Kraków, Poland"
"ul. Grunwaldzka, Kraków, Poland"
"ul. Ceglarska, Kraków, Poland"
"ul. Jurajska, Kraków, Poland"
"ul. Bosacka, Kraków, Poland"
"ul. Zalesie, Kraków, Poland"
"ul. Borsucza, Kraków, Poland"
"ul. Kamberskiego Mieczysława, Kraków, Poland"
"ul. Kilińskiego Jana, Kraków, Poland"
"ul. Konopnickiej, Kraków, Poland"
"ul. Gronostajowa, Kraków, Poland"
"ul. Zielony Jar, Kraków, Poland"
"ul. Lubomirskiego Aleksandra, Kraków, Poland"
"ul. Bernardyńska, Kraków, Poland"
"ul. Starowiślna, Kraków, Poland"
"ul. Pędzichów, Kraków, Poland"
"ul. Axentowicza Teodora, Kraków, Poland"
"ul. Rzeszowska, Kraków, Poland"
"ul. Pastelowa, Kraków, Poland"
"ul. Jana Pawła II, Kraków, Poland"
"ul. Pawia, Kraków, Poland"
"ul. Jagiellońska, Kraków, Poland"
"ul. Krowoderskich Zuchów dł. 1,060km, Kraków, Poland"
"ul. Floriańska, Kraków, Poland"
"ul. Pleszowska, Kraków, Poland"
"ul. Włodkowica Pawła, Kraków, Poland"
"ul. Krakowska, Kraków, Poland"
"ul. Wyki Kazimierza, Kraków, Poland"
"ul. Magnolii, Kraków, Poland"
"ul. Na Grządkach, Kraków, Poland"
"ul. Studzianki, Kraków, Poland"
"ul. Retoryka, Kraków, Poland"
"ul. Siemiradzkiego Henryka, Kraków, Poland"
"ul. Bożego Ciała, Kraków, Poland"
"ul. Gertrudy Św., Kraków, Poland"
"ul. Giedroycia Jerzego, Kraków, Poland"
"ul. Schweitzera Alberta, Kraków, Poland"
"ul. Kielecka, Kraków, Poland"
"ul. Rynek Główny, Kraków, Poland"
"ul. Na Zielonki, Kraków, Poland"
"ul. Szewska, Kraków, Poland"
"ul. Warszauera Jonatana, Kraków, Poland"
"ul. Pawlickiego Stefana Ks., Kraków, Poland"
"ul. Wielkie Pola, Kraków, Poland"
"ul. Sołtysowska, Kraków, Poland"
"ul. Szuwarowa, Kraków, Poland"
"ul. Igołomska, Kraków, Poland"
"ul. Mitkowskiego Władysława, Kraków, Poland"
"ul. Basztowa, Kraków, Poland"
"ul. Warszawska, Kraków, Poland"
"ul. Focha Ferdinanda Marszałka, Kraków, Poland"
"ul. Straszewskiego, Kraków, Poland"
"ul. Stachiewicza Piotra, Kraków, Poland"
"ul. Wilka, Kraków, Poland"
"ul. Pruska, Kraków, Poland"
"ul. Łukasiewicza Ignacego, Kraków, Poland"
"ul. Supniewskiego Janusza, Kraków, Poland"
"ul. Darwina Karola, Kraków, Poland"
"ul. Weissa Wojciecha, Kraków, Poland"
"ul. Borowinowa, Kraków, Poland"
"ul. Gazowa, Kraków, Poland"
"ul. Józefa, Kraków, Poland"
"ul. Sukiennicza, Kraków, Poland"
"ul. Różana, Kraków, Poland"
"ul. Kordeckiego Augustyna Ks., Kraków, Poland"
"ul. Millana Stanisława Harcmistrza, Kraków, Poland"
"ul. Nad Sudołem, Kraków, Poland"
"ul. Centralny Plac, Kraków, Poland"
"ul. Totus Tuus, Kraków, Poland"
"ul. Karmelicka, Kraków, Poland"
"ul. Zakopiańska, Kraków, Poland"
"ul. Mazowiecka, Kraków, Poland"
"ul. Orzeszkowej Elizy, Kraków, Poland"
"ul. Twaroga Franciszka, Kraków, Poland"
"ul. Górnickiego Łukasza, Kraków, Poland"
"ul. Tomasza św, Kraków, Poland"
"ul. Obozowa, Kraków, Poland"
"ul. Srebrnych Orłów, Kraków, Poland"
"ul. Birkuta Mateusza, Kraków, Poland"
"ul. Bobrzyńskiego Michała Prof., Kraków, Poland"
"ul. Kanonicza, Kraków, Poland"
"ul. Obrońców Poczty Gdańskiej, Kraków, Poland"
"ul. Halicka, Kraków, Poland"
"ul. Kapucyńska, Kraków, Poland"
"ul. Kochanowskiego Jana, Kraków, Poland"
"ul. Stary Gościniec, Kraków, Poland"
"ul. Korohody Jerzego, Kraków, Poland"
"ul. Grochowska, Kraków, Poland"
"ul. Wasilewskiego Edmunda, Kraków, Poland"
"ul. Do Wilgi, Kraków, Poland"
"ul. Bracka, Kraków, Poland"
"ul. Grzegorza z Sanoka, Kraków, Poland"
"ul. Piłsudskiego Józefa, Kraków, Poland"
"ul. Konopczyńskiego Władysława prof., Kraków, Poland"
"ul. Wąska, Kraków, Poland"
"ul. Słupska, Kraków, Poland"
"ul. Fatimska, Kraków, Poland"
"ul. Pienińska, Kraków, Poland"
"ul. Filipa Św., Kraków, Poland"
"ul. Bolesława Chrobrego, Kraków, Poland"
"ul. Dąbrowskiej Marii, Kraków, Poland"
"ul. Sosnowiecka, Kraków, Poland"
"ul. Kobierzyńska, Kraków, Poland"
"ul. Szafrana Tadeusza, Kraków, Poland"
"ul. Biała Droga, Kraków, Poland"
"ul. Janickiego Klemensa, Kraków, Poland"
"ul. Zielna, Kraków, Poland"
"ul. Zielonogórska, Kraków, Poland"
"ul. Borowickiej Iwony, Kraków, Poland"
"ul. Szpitalna, Kraków, Poland"
"ul. Łobzowska, Kraków, Poland"
"ul. Podgórska, Kraków, Poland"
"ul. Przyzby Jana Kantego, Kraków, Poland"
"ul. Perkuna, Kraków, Poland"
"ul. Bandurskiego Władysława Ks. Bp., Kraków, Poland"
"ul. Długa, Kraków, Poland"
"ul. Sobieskiego Jana III, Kraków, Poland"
"ul. Geodetów, Kraków, Poland"
"ul. Syreny, Kraków, Poland"
"ul. Cegielniana, Kraków, Poland"
"ul. Siostry Faustyny, Kraków, Poland"
"ul. Lubicz, Kraków, Poland"
"ul. Nad Strugą, Kraków, Poland"
"ul. Dolnych Młynów, Kraków, Poland"
"ul. Narutowicza Gabriela, Kraków, Poland"
"ul. Kamieniarska, Kraków, Poland"
"ul. Ułanów, Kraków, Poland"
"ul. Asnyka Adama, Kraków, Poland"
"ul. Deotymy, Kraków, Poland"
"ul. Odrzańska, Kraków, Poland"
"ul. Gwieździsta, Kraków, Poland"
"ul. Reformacka, Kraków, Poland"
"ul. Dominikańska, Kraków, Poland"
"ul. Studencka, Kraków, Poland"
"ul. Swarożyca, Kraków, Poland"
"ul. Grodzka, Kraków, Poland"
"ul. Anny Św., Kraków, Poland"
"ul. Morawskiego Kazimierza, Kraków, Poland"
"ul. Przemyska, Kraków, Poland"
"ul. Kazimierza Wielkiego, Kraków, Poland"
"ul. Tajber Pauli Zofii Matki, Kraków, Poland"
"ul. Podwale, Kraków, Poland"
"ul. Bałtycka, Kraków, Poland"
"ul. Cieślewskiego Ernesta, Kraków, Poland"
"ul. Kantorowicka, Kraków, Poland"
"ul. Popielidów, Kraków, Poland"
"ul. Bogdanowicza Karola, Kraków, Poland"
"ul. Kremerowska, Kraków, Poland"
"ul. Frassati, Kraków, Poland"
"ul. Dietla Józefa, Kraków, Poland"
"ul. Drukarska, Kraków, Poland"
"ul. Czerwiakowskiego Rafała, Kraków, Poland"
"ul. Akacjowa, Kraków, Poland"
"ul. Płaska, Kraków, Poland"
"ul. Lasek, Kraków, Poland"
"ul. Wszystkich Świętych pl, Kraków, Poland"
"ul. Sebastiana Św., Kraków, Poland"
"ul. Kędzierzyńska, Kraków, Poland"
"ul. Bema Józefa Gen., Kraków, Poland"
"ul. Pachońskiego Henryka, Kraków, Poland"
"ul. Gołębia, Kraków, Poland"
"ul. Radzikowskiego, Kraków, Poland"
"ul. Jana Św., Kraków, Poland"
"ul. Szeroka, Kraków, Poland"
"ul. Wenecja, Kraków, Poland"
"ul. Kaczyńskiego Zygmunta Ks., Kraków, Poland"
"ul. Gaik, Kraków, Poland"
"ul. Powroźnicza, Kraków, Poland"
"ul. Ciesielska, Kraków, Poland"
"ul. Bocheńska, Kraków, Poland"
"ul. Zagrody, Kraków, Poland"
"ul. Skawińska, Kraków, Poland"
"ul. Ogrodniki, Kraków, Poland"
"ul. Miłkowskiego Zygmunta, Kraków, Poland"
"ul. Luborzycka, Kraków, Poland"
"ul. Brzeska, Kraków, Poland"
"ul. Jacka Św., Kraków, Poland"
"ul. Jakuba, Kraków, Poland"
"ul. Pietrusińskiego Jana, Kraków, Poland"
"ul. Sienna, Kraków, Poland"
"ul. Ariańska, Kraków, Poland"
"ul. Rydygiera Ludwika, Kraków, Poland"
"ul. Łojasiewicza Stanisława Profesora, Kraków, Poland"
"ul. Wielopole, Kraków, Poland"
"ul. Dożynkowa, Kraków, Poland"
"ul. Marka Św., Kraków, Poland"
"ul. Spadochroniarzy, Kraków, Poland"
"ul. Wielicka, Kraków, Poland"
"ul. Mały Rynek, Kraków, Poland"
"ul. Szaniawskiego Junoszy Klemensa, Kraków, Poland"
"ul. Wałbrzyska, Kraków, Poland"
"ul. Cienista, Kraków, Poland"
"ul. Moniuszki Stanisława, Kraków, Poland"
"ul. Bożywoja, Kraków, Poland"
"ul. Kirchmajera Wincentego, Kraków, Poland"
"ul. Koszalińska, Kraków, Poland"
"ul. Mickiewicza Adama Al., Kraków, Poland"
"ul. Trynitarska, Kraków, Poland"
"ul. Garncarska, Kraków, Poland"
"ul. Tischnera Józefa Ks., Kraków, Poland"
"ul. Wolnica plac, Kraków, Poland"
"ul. Szczepańska, Kraków, Poland"
"ul. Brożka, Kraków, Poland"
"ul. Pomykany, Kraków, Poland"
"ul. Makowskiego Tadeusza, Kraków, Poland"
"ul. Nowotarska, Kraków, Poland"
"ul. Legnicka, Kraków, Poland"
"ul. Mackiewicza Józefa, Kraków, Poland"
"ul. Ducha Św. Plac, Kraków, Poland"
"ul. Oraczy, Kraków, Poland"
"ul. Rozdroże, Kraków, Poland"
"ul. Senacka, Kraków, Poland"
"ul. Cieślińskiej, Kraków, Poland"
"ul. Wybickiego Józefa, Kraków, Poland"
"ul. Do Sanktuarium Bożego Miłosierdzia, Kraków, Poland"
"ul. Meiselsa Beera, Kraków, Poland"
"ul. Wiślna, Kraków, Poland"
"ul. Estery, Kraków, Poland"
"ul. Chałupnika Kazimierza, Kraków, Poland"
"ul. Glogera Zygmunta, Kraków, Poland"
"ul. Miodowa, Kraków, Poland"
"ul. Batorego Stefana, Kraków, Poland"
"ul. Podzamcze, Kraków, Poland"
"ul. Brogi, Kraków, Poland"
"ul. Na Zjeździe, Kraków, Poland"
"ul. Rajska, Kraków, Poland"
"ul. Medweckiego Mieczysława, Kraków, Poland"
"ul. Westerplatte, Kraków, Poland"
"ul. Kruszwicka, Kraków, Poland"
"ul. Krasińskiego Zygmunta, Kraków, Poland"
"ul. Pszczelna, Kraków, Poland"
"ul. Chełmońskiego  Józefa, Kraków, Poland"
"ul. Przymiarki, Kraków, Poland"
"ul. Kuźnicy Kołłątajowskiej, Kraków, Poland"
"ul. Dunajewskiego Juliana, Kraków, Poland"
"ul. Dębnicka, Kraków, Poland"
"ul. Różyckiego Ludomira, Kraków, Poland"
"ul. Duża Góra, Kraków, Poland"
"ul. Jabłonowskich, Kraków, Poland"
"ul. Mariacki Plac, Kraków, Poland"
"ul. Grażyny, Kraków, Poland"
"ul. Lipińskiego Wacława Profesora, Kraków, Poland"
"ul. Mistrzejowicka, Kraków, Poland"
"ul. Gutenberga Jana, Kraków, Poland"
"ul. Dajwór, Kraków, Poland"
"ul. Droga na Wawel, Kraków, Poland"
"ul. Folwarczna, Kraków, Poland"
"ul. Idziego Św., Kraków, Poland"
"ul. Hoffmanowej Klementyny, Kraków, Poland"
"ul. Kossaka Juliusza Plac, Kraków, Poland"
"ul. Sapiehy Adama Stefana Ks. Kardynała, Kraków, Poland"
"ul. Skłodowskiej Curie Marii, Kraków, Poland"
"ul. Wrocławska, Kraków, Poland"
"ul. Rolna, Kraków, Poland"
