"ul. Ciołkosza Adama, Kraków, Poland"
"ul. Rzeszowska, Kraków, Poland"
"ul. Bąkowskiego Klemensa, Kraków, Poland"
"ul. Jana Pawła II, Kraków, Poland"
"ul. Morsztynowska, Kraków, Poland"
"ul. Czapskich, Kraków, Poland"
"ul. Pawia, Kraków, Poland"
"ul. Rybitwy, Kraków, Poland"
"ul. Jagiellońska, Kraków, Poland"
"ul. Pilotów, Kraków, Poland"
"ul. Floriańska, Kraków, Poland"
"ul. Grabowskiego, Kraków, Poland"
"ul. Cybulskiego Napoleona, Kraków, Poland"
"ul. Podedworze, Kraków, Poland"
"ul. Sadka, Kraków, Poland"
"ul. Zegadłowicza Emila, Kraków, Poland"
"ul. Krakowska, Kraków, Poland"
"ul. Janiszewskiego Tomasza os. Strusia, Kraków, Poland"
"ul. Nad Fosą, Kraków, Poland"
"ul. Retoryka, Kraków, Poland"
"ul. Inicjatywy Lokalnej, Kraków, Poland"
"ul. Siemiradzkiego Henryka, Kraków, Poland"
"ul. Klimeckiego, Kraków, Poland"
"ul. Sądowa, Kraków, Poland"
"ul. Fabijańskich Erazma i Stanisława, Kraków, Poland"
"ul. Bożego Ciała, Kraków, Poland"
"ul. Towarowa, Kraków, Poland"
"ul. Gertrudy Św., Kraków, Poland"
"ul. Sawickiego Jana, Kraków, Poland"
"ul. Turniejowa, Kraków, Poland"
"ul. Rynek Główny, Kraków, Poland"
"ul. Bohomolca Franciszka, Kraków, Poland"
"ul. Szewska, Kraków, Poland"
"ul. Warszauera Jonatana, Kraków, Poland"
"ul. Basztowa, Kraków, Poland"
"ul. Uniwersału Połanieckiego od ul. Dąbrowskiej przy nr 2B do ul. Braci Schindlerów), Kraków, Poland"
"ul. Warszawska, Kraków, Poland"
"ul. Teresy Św., Kraków, Poland"
"ul. Focha Ferdinanda Marszałka, Kraków, Poland"
"ul. Błotna, Kraków, Poland"
"ul. Straszewskiego, Kraków, Poland"
"ul. Gazowa, Kraków, Poland"
"ul. Józefa, Kraków, Poland"
"ul. Sukiennicza, Kraków, Poland"
"ul. Ludwika Węgierskiego, Kraków, Poland"
"ul. Przyjaźni Polsko, Kraków, Poland"
"ul. Żuławskiego Jerzego, Kraków, Poland"
"ul. Lindego Samuela Bogumiła, Kraków, Poland"
"ul. Kordeckiego Augustyna Ks., Kraków, Poland"
"ul. Borowego Piotra, Kraków, Poland"
"ul. Karmelicka, Kraków, Poland"
"ul. Krzywickiego Ludwika, Kraków, Poland"
"ul. Mazowiecka, Kraków, Poland"
"ul. Orzeszkowej Elizy, Kraków, Poland"
"ul. Na Błonie, Kraków, Poland"
"ul. Tomasza św, Kraków, Poland"
"ul. Bożego Miłosierdzia, Kraków, Poland"
"ul. Kolberga Oskara, Kraków, Poland"
"ul. Rondo Mogilskie, Kraków, Poland"
"ul. Czyżyńska, Kraków, Poland"
"ul. Kanonicza, Kraków, Poland"
"ul. Halicka, Kraków, Poland"
"ul. Kapucyńska, Kraków, Poland"
"ul. Emaus, Kraków, Poland"
"ul. Kochanowskiego Jana, Kraków, Poland"
"ul. Paderewskiego Ignacego, Kraków, Poland"
"ul. Na Szaniec, Kraków, Poland"
"ul. Pokoju Al., Kraków, Poland"
"ul. Królowej Jadwigi, Kraków, Poland"
"ul. Złota, Kraków, Poland"
"ul. Lea Juliusza, Kraków, Poland"
"ul. Bracka, Kraków, Poland"
"ul. Pod Sulnikiem, Kraków, Poland"
"ul. Piłsudskiego Józefa, Kraków, Poland"
"ul. Wąska, Kraków, Poland"
"ul. Rybaki, Kraków, Poland"
"ul. Siarczana, Kraków, Poland"
"ul. Rogatka, Kraków, Poland"
"ul. Dąbrowskiego Jana Henryka, Kraków, Poland"
"ul. Bochenka Adama, Kraków, Poland"
"ul. Jadwigi z Łobzowa, Kraków, Poland"
"ul. Pawlikowskiego Tadeusza, Kraków, Poland"
"ul. Kamieńskiego Henryka, Kraków, Poland"
"ul. Filipa Św., Kraków, Poland"
"ul. Cechowa, Kraków, Poland"
"ul. Dauna Alfreda, Kraków, Poland"
"ul. Szpitalna, Kraków, Poland"
"ul. Łobzowska, Kraków, Poland"
"ul. Smoleńskiego Jerzego, Kraków, Poland"
"ul. Podgórska, Kraków, Poland"
"ul. Olszyny, Kraków, Poland"
"ul. Hołdu Pruskiego, Kraków, Poland"
"ul. Długa, Kraków, Poland"
"ul. Librowszczyzna, Kraków, Poland"
"ul. Botewa Christo, Kraków, Poland"
"ul. Sobieskiego Jana III, Kraków, Poland"
"ul. Lubicz, Kraków, Poland"
"ul. Dolnych Młynów, Kraków, Poland"
"ul. Powstańców Wielkopolskich, Kraków, Poland"
"ul. Miśnieńska, Kraków, Poland"
"ul. Staszica Stanisława, Kraków, Poland"
"ul. Asnyka Adama, Kraków, Poland"
"ul. Reformacka, Kraków, Poland"
"ul. Dominikańska, Kraków, Poland"
"ul. Studencka, Kraków, Poland"
"ul. Grodzka, Kraków, Poland"
"ul. Berberysowa, Kraków, Poland"
"ul. Anny Św., Kraków, Poland"
"ul. Pększyca, Kraków, Poland"
"ul. Katarzyny Św., Kraków, Poland"
"ul. Niepołomska, Kraków, Poland"
"ul. Morawskiego Kazimierza, Kraków, Poland"
"ul. Przemyska, Kraków, Poland"
"ul. Kazimierza Wielkiego, Kraków, Poland"
"ul. Rondo Grzegórzeckie, Kraków, Poland"
"ul. Wyżynna, Kraków, Poland"
"ul. Podwale, Kraków, Poland"
"ul. Trybuny Ludów, Kraków, Poland"
"ul. Lublańska, Kraków, Poland"
"ul. Jurczaka Stefana, Kraków, Poland"
"ul. Kremerowska, Kraków, Poland"
"ul. Dietla Józefa, Kraków, Poland"
"ul. Koło Strzelnicy, Kraków, Poland"
"ul. Zarzecze, Kraków, Poland"
"ul. Czerwonego Prądnika, Kraków, Poland"
"ul. Brzozowa, Kraków, Poland"
"ul. Romera Eugeniusza wraz z 3 sięgaczami, Kraków, Poland"
"ul. Wszystkich Świętych pl, Kraków, Poland"
"ul. Sebastiana Św., Kraków, Poland"
"ul. Fenn'a Sereno, Kraków, Poland"
"ul. Siemaszki, Kraków, Poland"
"ul. Murowana, Kraków, Poland"
"ul. Gzymsików wraz z sięgaczem w kierunku Al. Słowackiego przy Radiu Kraków, Kraków, Poland"
"ul. Gołębia, Kraków, Poland"
"ul. Jana Św., Kraków, Poland"
"ul. Szeroka, Kraków, Poland"
"ul. Wenecja, Kraków, Poland"
"ul. Kijanki, Kraków, Poland"
"ul. Bocheńska, Kraków, Poland"
"ul. Skawińska, Kraków, Poland"
"ul. Kremskiego Jana, Kraków, Poland"
"ul. Centralna, Kraków, Poland"
"ul. Żmujdzka, Kraków, Poland"
"ul. Hofmana Vlastimila, Kraków, Poland"
"ul. Spasowskiego Władysława, Kraków, Poland"
"ul. Młyńska, Kraków, Poland"
"ul. Montelupich, Kraków, Poland"
"ul. Jakuba, Kraków, Poland"
"ul. Mokra, Kraków, Poland"
"ul. Sułkowskiego Józefa Gen., Kraków, Poland"
"ul. Sienna, Kraków, Poland"
"ul. Marcika Józefa, Kraków, Poland"
"ul. Wielopole, Kraków, Poland"
"ul. Marka Św., Kraków, Poland"
"ul. Wielicka, Kraków, Poland"
"ul. Mały Rynek, Kraków, Poland"
"ul. Bobrzeckiej Marii, Kraków, Poland"
"ul. Chełmska, Kraków, Poland"
"ul. Felicjanek, Kraków, Poland"
"ul. Andrica Ivo, Kraków, Poland"
"ul. Zyblikiewicza Mikołaja, Kraków, Poland"
"ul. Wrzesińska, Kraków, Poland"
"ul. Bronowicka, Kraków, Poland"
"ul. Mickiewicza Adama Al., Kraków, Poland"
"ul. Trynitarska, Kraków, Poland"
"ul. Ciasna, Kraków, Poland"
"ul. Garncarska, Kraków, Poland"
"ul. Pod Sikornikiem, Kraków, Poland"
"ul. Odyńca Antoniego, Kraków, Poland"
"ul. Wolnica plac, Kraków, Poland"
"ul. Szczepańska, Kraków, Poland"
"ul. Modrzewiowa, Kraków, Poland"
"ul. Szpakowa, Kraków, Poland"
"ul. Ducha Św. Plac, Kraków, Poland"
"ul. Ciemna, Kraków, Poland"
"ul. Urzędnicza, Kraków, Poland"
"ul. Wysłouchów, Kraków, Poland"
"ul. Senacka, Kraków, Poland"
"ul. Kleeberga Franciszka Gen., Kraków, Poland"
"ul. Wybickiego Józefa, Kraków, Poland"
"ul. Szajnowicza, Kraków, Poland"
"ul. Na Gródku, Kraków, Poland"
"ul. Meiselsa Beera, Kraków, Poland"
"ul. Wiślna, Kraków, Poland"
"ul. Estery, Kraków, Poland"
"ul. Estońska, Kraków, Poland"
"ul. Kamienna, Kraków, Poland"
"ul. Miodowa, Kraków, Poland"
"ul. Zapolskiej Gabrieli, Kraków, Poland"
"ul. Reduta, Kraków, Poland"
"ul. Samorządowa, Kraków, Poland"
"ul. Wawelska, Kraków, Poland"
"ul. Bajeczna, Kraków, Poland"
"ul. Batorego Stefana, Kraków, Poland"
"ul. Józefitów, Kraków, Poland"
"ul. Bonifraterska, Kraków, Poland"
"ul. Podzamcze, Kraków, Poland"
"ul. Grzegórzecka, Kraków, Poland"
"ul. Kątowa, Kraków, Poland"
"ul. Tondosa Stanisława, Kraków, Poland"
"ul. Bartosza, Kraków, Poland"
"ul. Meissnera Janusza, Kraków, Poland"
"ul. Rajska, Kraków, Poland"
"ul. Powstańców Śląskich, Kraków, Poland"
"ul. Westerplatte, Kraków, Poland"
"ul. Opatkowicka, Kraków, Poland"
"ul. Krasińskiego Zygmunta, Kraków, Poland"
"ul. Próchnika Adama, Kraków, Poland"
"ul. Skałeczna, Kraków, Poland"
"ul. Sporna, Kraków, Poland"
"ul. Rogalskiego Tadeusza, Kraków, Poland"
"ul. Lea, Kraków, Poland"
"ul. Kotlarska, Kraków, Poland"
"ul. Wiślicka, Kraków, Poland"
"ul. Poronińska, Kraków, Poland"
"ul. Wróblewskiego Zygmunta, Kraków, Poland"
"ul. Surzyckiego Jana, Kraków, Poland"
"ul. Dunajewskiego Juliana, Kraków, Poland"
"ul. Rydla Lucjana, Kraków, Poland"
"ul. Bogusławskiego Wojciecha, Kraków, Poland"
"ul. Jabłonowskich, Kraków, Poland"
"ul. Podmokła, Kraków, Poland"
"ul. Mariacki Plac, Kraków, Poland"
"ul. Sosnkowskiego Kazimierza, Kraków, Poland"
"ul. Humberta Szczepana, Kraków, Poland"
"ul. Dajwór, Kraków, Poland"
"ul. Droga na Wawel, Kraków, Poland"
"ul. Idziego Św., Kraków, Poland"
"ul. Kossaka Juliusza Plac, Kraków, Poland"
"ul. Skłodowskiej Curie Marii, Kraków, Poland"
"ul. Wrocławska, Kraków, Poland"
"ul. Tenczyńska, Kraków, Poland"
"ul. Gandhiego Mahatmy, Kraków, Poland"
