"ul. Wlotowa, Kraków, Poland"
"ul. Wjazdowa, Kraków, Poland"
"ul. Klasztorna, Kraków, Poland"
"ul. Krzywoń Anieli, Kraków, Poland"
"ul. Pużaka Kazimierza, Kraków, Poland"
"ul. Stella, Kraków, Poland"
"ul. Facimiech, Kraków, Poland"
"ul. Szymanowskiego Karola, Kraków, Poland"
"ul. Reymonta Władysława, Kraków, Poland"
"ul. Racheli, Kraków, Poland"
"ul. Jakubowskiego Macieja, Kraków, Poland"
"ul. Stoczniowców, Kraków, Poland"
"ul. Zarzyckiego Wiesława, Kraków, Poland"
"ul. Stattlera Wojciecha, Kraków, Poland"
"ul. Stolarska, Kraków, Poland"
"ul. Reymana Henryka, Kraków, Poland"
"ul. Imielna, Kraków, Poland"
"ul. Dominikański Plac, Kraków, Poland"
"ul. Anusi, Kraków, Poland"
"ul. Wachholza Leona, Kraków, Poland"
"ul. Łazy, Kraków, Poland"
"ul. Majowa, Kraków, Poland"
"ul. Gdyńska, Kraków, Poland"
"ul. Kurczaba, Kraków, Poland"
"ul. Kiełkowskiego Romana, Kraków, Poland"
"ul. Pustynna, Kraków, Poland"
"ul. 3 Maja Al., Kraków, Poland"
"ul. Chodowieckiego Daniela, Kraków, Poland"
"ul. Legionów Piłsudskiego, Kraków, Poland"
"ul. Dęboroga, Kraków, Poland"
"ul. Ściegiennego Piotra Ks., Kraków, Poland"
"ul. Lipowskiego Wojciecha, Kraków, Poland"
"ul. Kryniczna, Kraków, Poland"
"ul. Chełmońskiego 35, Kraków, Poland"
"ul. Konopnickiej Marii, Kraków, Poland"
"ul. Pijarska, Kraków, Poland"
"ul. Pijarów Księży, Kraków, Poland"
"ul. Poselska, Kraków, Poland"
"ul. 29 Listopada Al., Kraków, Poland"
"ul. Jana Pawła II al., Kraków, Poland"
"ul. Piasta Kołodzieja, Kraków, Poland"
"ul. Krasickiego Ignacego, Kraków, Poland"
"ul. Kluka Jana, Kraków, Poland"
"ul. Drozdowskich Karola i Jerzego, Kraków, Poland"
"ul. Żaków Krakowskich, Kraków, Poland"
"ul. Dzielskiego Mirosława, Kraków, Poland"
"ul. Wielkotyrnowska, Kraków, Poland"
"ul. Czechowicza Szymona, Kraków, Poland"
"ul. Konopnickiej, Kraków, Poland"
"ul. Ogrodowa, Kraków, Poland"
"ul. Mączyńskiego Władysława Ks., Kraków, Poland"
"ul. Przełęcz, Kraków, Poland"
"ul. Lubomirskiego Aleksandra, Kraków, Poland"
"ul. Szmaragdowa, Kraków, Poland"
"ul. Nałkowskiego Wacława na dł. 0,4km wraz z 2 łącznikami: 1. na wschód do ul. Stanisławskiego na dł. 0,06km; 2. na zachód do ul. Ehrenberga na dł. 0,7km, Kraków, Poland"
"ul. Ptasia, Kraków, Poland"
"ul. Kalinowskiego Rafała Św., Kraków, Poland"
"ul. Starowiślna, Kraków, Poland"
"ul. Syrokomli Władysława, Kraków, Poland"
"ul. Mieszka I, Kraków, Poland"
"ul. Bellerta Józefa, Kraków, Poland"
"ul. Nieznana, Kraków, Poland"
"ul. Łaczka Mariana Ks., Kraków, Poland"
"ul. Umińskiej Eugenii, Kraków, Poland"
"ul. Billewiczów, Kraków, Poland"
"ul. Drożdżowa, Kraków, Poland"
"ul. Bajana Jerzego, Kraków, Poland"
"ul. Jana Pawła II, Kraków, Poland"
"ul. Madejówka, Kraków, Poland"
"ul. Nowowiejska, Kraków, Poland"
"ul. Jerzmanowskiego Erazma, Kraków, Poland"
"ul. Pawia, Kraków, Poland"
"ul. Rybitwy, Kraków, Poland"
"ul. Jagiellońska, Kraków, Poland"
"ul. Floriańska, Kraków, Poland"
"ul. Warowna, Kraków, Poland"
"ul. Fałęcka, Kraków, Poland"
"ul. Welońskiego Piusa, Kraków, Poland"
"ul. Krakowska, Kraków, Poland"
"ul. Podmiejska, Kraków, Poland"
"ul. Zaporoska, Kraków, Poland"
"ul. Kokotowska, Kraków, Poland"
"ul. Smoluchowskiego Mariana, Kraków, Poland"
"ul. Andersa Władysława Gen., Kraków, Poland"
"ul. Prusa Bolesława, Kraków, Poland"
"ul. Rutkowskiego Maksymiliana, Kraków, Poland"
"ul. Komorowskiego Bolesława, Kraków, Poland"
"ul. Gertrudy Św., Kraków, Poland"
"ul. Kopernickiego Izydora, Kraków, Poland"
"ul. Rynek Główny, Kraków, Poland"
"ul. Szewska, Kraków, Poland"
"ul. Janowa Wola, Kraków, Poland"
"ul. Wysockiego Piotra, Kraków, Poland"
"ul. Księżycowa, Kraków, Poland"
"ul. Kocmyrzowska, Kraków, Poland"
"ul. Żywiecka, Kraków, Poland"
"ul. Mehoffera Józefa, Kraków, Poland"
"ul. Basztowa, Kraków, Poland"
"ul. Nad Serafą, Kraków, Poland"
"ul. Warszawska, Kraków, Poland"
"ul. Senatorska, Kraków, Poland"
"ul. Kawiory, Kraków, Poland"
"ul. Straszewskiego, Kraków, Poland"
"ul. Ujejskiego Kornela, Kraków, Poland"
"ul. Dekerta Jana, Kraków, Poland"
"ul. Sadzawki, Kraków, Poland"
"ul. Babinicza, Kraków, Poland"
"ul. Brandla Konstantego, Kraków, Poland"
"ul. Dobra, Kraków, Poland"
"ul. Filarecka, Kraków, Poland"
"ul. Pruszyńskiego, Kraków, Poland"
"ul. Polarna, Kraków, Poland"
"ul. Centralny Plac, Kraków, Poland"
"ul. Karmelicka, Kraków, Poland"
"ul. Janowskiego Jana, Kraków, Poland"
"ul. Fałata Juliana, Kraków, Poland"
"ul. Spacerowa, Kraków, Poland"
"ul. Tomasza św, Kraków, Poland"
"ul. Srebrnych Orłów, Kraków, Poland"
"ul. Widna, Kraków, Poland"
"ul. Złoty Róg, Kraków, Poland"
"ul. Rodakowskiego Henryka, Kraków, Poland"
"ul. Kanonicza, Kraków, Poland"
"ul. Przedwiośnie, Kraków, Poland"
"ul. Mierzeja Wiślana, Kraków, Poland"
"ul. Startowa, Kraków, Poland"
"ul. Okulickiego Leopolda Gen., Kraków, Poland"
"ul. Republiki Korczakowskiej, Kraków, Poland"
"ul. Modrzejewskiej Heleny, Kraków, Poland"
"ul. Czyżewskiego Tytusa, Kraków, Poland"
"ul. Królowej Jadwigi, Kraków, Poland"
"ul. Butrymów, Kraków, Poland"
"ul. Bracka, Kraków, Poland"
"ul. Lea Juliusza, Kraków, Poland"
"ul. Skośna, Kraków, Poland"
"ul. Piłsudskiego Józefa, Kraków, Poland"
"ul. Nenko Julii, Kraków, Poland"
"ul. Fiołkowa, Kraków, Poland"
"ul. Bieńczycka, Kraków, Poland"
"ul. Chorzowska, Kraków, Poland"
"ul. Słowicza, Kraków, Poland"
"ul. Rozmarynowa, Kraków, Poland"
"ul. Dąbrowskiej Marii, Kraków, Poland"
"ul. Telimeny, Kraków, Poland"
"ul. Malawskiego Artura, Kraków, Poland"
"ul. Wallek, Kraków, Poland"
"ul. Łaszkiewicza Stefana płk., Kraków, Poland"
"ul. Szpitalna, Kraków, Poland"
"ul. Łobzowska, Kraków, Poland"
"ul. Gałęzowskiego Józefa, Kraków, Poland"
"ul. Podgórska, Kraków, Poland"
"ul. Sucharskiego Henryka majora, Kraków, Poland"
"ul. Wilcza, Kraków, Poland"
"ul. Krymska, Kraków, Poland"
"ul. Długa, Kraków, Poland"
"ul. Marusarzówny Heleny, Kraków, Poland"
"ul. Rakowicka, Kraków, Poland"
"ul. Wodzinowskiego Wincentego, Kraków, Poland"
"ul. Dąbrówki, Kraków, Poland"
"ul. Lubicz, Kraków, Poland"
"ul. Wichrowa, Kraków, Poland"
"ul. Swojska, Kraków, Poland"
"ul. Dunikowskiego Xawerego, Kraków, Poland"
"ul. Kantora Tadeusza, Kraków, Poland"
"ul. Kącik, Kraków, Poland"
"ul. Doktora Judyma, Kraków, Poland"
"ul. Letnia, Kraków, Poland"
"ul. Reformacka, Kraków, Poland"
"ul. Dominikańska, Kraków, Poland"
"ul. Oleandry, Kraków, Poland"
"ul. Grodzka, Kraków, Poland"
"ul. Anny Św., Kraków, Poland"
"ul. Niedziałkowskiego Mieczysława, Kraków, Poland"
"ul. Seniorów Lotnictwa, Kraków, Poland"
"ul. Chęcińska, Kraków, Poland"
"ul. Wita Stwosza, Kraków, Poland"
"ul. Morawskiego Kazimierza, Kraków, Poland"
"ul. Podwale, Kraków, Poland"
"ul. Dunin, Kraków, Poland"
"ul. Lublańska, Kraków, Poland"
"ul. Rabsztyńska, Kraków, Poland"
"ul. Lema Stanisława, Kraków, Poland"
"ul. Dietla Józefa, Kraków, Poland"
"ul. Na Kozłówce, Kraków, Poland"
"ul. Sokołowskiego Andrzeja, Kraków, Poland"
"ul. Kmietowicza Józefa Leopolda, Kraków, Poland"
"ul. Wszystkich Świętych pl, Kraków, Poland"
"ul. Wiejska, Kraków, Poland"
"ul. Heleny, Kraków, Poland"
"ul. Salwatorska, Kraków, Poland"
"ul. Gołębia, Kraków, Poland"
"ul. Fiszera Stanisława, Kraków, Poland"
"ul. Ofiar Dąbia, Kraków, Poland"
"ul. Jana Św., Kraków, Poland"
"ul. Kostrzewskiego Józefa, Kraków, Poland"
"ul. Prądnicka, Kraków, Poland"
"ul. Szeroka, Kraków, Poland"
"ul. Stanisławskiego Jana na dł. 0,36km wraz z łącznikiem na wschód do ul. Niskiej na dł. 0,05km, Kraków, Poland"
"ul. Opty, Kraków, Poland"
"ul. Szkółkowa, Kraków, Poland"
"ul. Raciborskiego Mariana, Kraków, Poland"
"ul. Boratyńskiego Czesława, Kraków, Poland"
"ul. Szparagowa, Kraków, Poland"
"ul. Narvik, Kraków, Poland"
"ul. Nawojki, Kraków, Poland"
"ul. Niska, Kraków, Poland"
"ul. Czorsztyńska, Kraków, Poland"
"ul. Sienna, Kraków, Poland"
"ul. Szwed, Kraków, Poland"
"ul. Partyzantów, Kraków, Poland"
"ul. Marka Św., Kraków, Poland"
"ul. Wielicka, Kraków, Poland"
"ul. Mały Rynek, Kraków, Poland"
"ul. Albatrosów, Kraków, Poland"
"ul. Pronaszków Zbigniewa i Andrzeja, Kraków, Poland"
"ul. Kraszewskiego Józefa Ignacego, Kraków, Poland"
"ul. Czepca Błażeja, Kraków, Poland"
"ul. Borkowska, Kraków, Poland"
"ul. Spółdzielców, Kraków, Poland"
"ul. Mickiewicza Adama Al., Kraków, Poland"
"ul. Bohaterów Wietnamu, Kraków, Poland"
"ul. Górna, Kraków, Poland"
"ul. Mała Góra, Kraków, Poland"
"ul. Szczepańska, Kraków, Poland"
"ul. Kałuży Józefa, Kraków, Poland"
"ul. Ducha Św. Plac, Kraków, Poland"
"ul. Urzędnicza, Kraków, Poland"
"ul. Senacka, Kraków, Poland"
"ul. Konarskiego Stanisława, Kraków, Poland"
"ul. Wiślna, Kraków, Poland"
"ul. Przyjaźni Al., Kraków, Poland"
"ul. Laudańska, Kraków, Poland"
"ul. Bratysławska, Kraków, Poland"
"ul. Ćwiklińskiej Mieczysławy, Kraków, Poland"
"ul. Barbary, Kraków, Poland"
"ul. Bagrowa, Kraków, Poland"
"ul. Podzamcze, Kraków, Poland"
"ul. Zawiszy, Kraków, Poland"
"ul. Kadrówki, Kraków, Poland"
"ul. Okólna, Kraków, Poland"
"ul. Głowackiego Bartosza, Kraków, Poland"
"ul. Potrzask, Kraków, Poland"
"ul. Prandoty Jana Bp., Kraków, Poland"
"ul. Gnieźnieńska, Kraków, Poland"
"ul. Na Zjeździe, Kraków, Poland"
"ul. Medweckiego Mieczysława, Kraków, Poland"
"ul. Hoyera Henryka, Kraków, Poland"
"ul. Westerplatte, Kraków, Poland"
"ul. Krasińskiego Zygmunta, Kraków, Poland"
"ul. Plac Inwalidów, Kraków, Poland"
"ul. Borelowskiego, Kraków, Poland"
"ul. Korpala Michała, Kraków, Poland"
"ul. Pod Strugą, Kraków, Poland"
"ul. Okręglik, Kraków, Poland"
"ul. Wrobela Feliksa, Kraków, Poland"
"ul. Jałowcowa, Kraków, Poland"
"ul. Żwirki i Wigury, Kraków, Poland"
"ul. Jakubowskiego, Kraków, Poland"
"ul. Dunajewskiego Juliana, Kraków, Poland"
"ul. Zygmuntowska, Kraków, Poland"
"ul. Piękna, Kraków, Poland"
"ul. Konrada Wallenroda, Kraków, Poland"
"ul. Nieduża, Kraków, Poland"
"ul. Bieżanowska, Kraków, Poland"
"ul. Kordylewskiego Kazimierza, Kraków, Poland"
"ul. Mariacki Plac, Kraków, Poland"
"ul. Zbaraska, Kraków, Poland"
"ul. Piastowska, Kraków, Poland"
"ul. Ingardena Romana, Kraków, Poland"
"ul. Idziego Św., Kraków, Poland"
