,0
51,"ul. Kurniki, Kraków, Poland"
52,"ul. Karabuły Wojciecha Ks., Kraków, Poland"
53,"ul. Nowogrodzka, Kraków, Poland"
54,"ul. Zielińska, Kraków, Poland"
55,"ul. Piaskowa, Kraków, Poland"
56,"ul. Stelmachów, Kraków, Poland"
57,"ul. Chabrowa, Kraków, Poland"
58,"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
59,"ul. Mikołajczyka Stanisława, Kraków, Poland"
60,"ul. Medalionów, Kraków, Poland"
61,"ul. Kościuszkowców, Kraków, Poland"
62,"ul. Mączna, Kraków, Poland"
63,"ul. Irysowa, Kraków, Poland"
64,"ul. Szczepański Plac, Kraków, Poland"
65,"ul. Hetmańska, Kraków, Poland"
66,"ul. Sławkowska, Kraków, Poland"
67,"ul. Na Klińcu, Kraków, Poland"
68,"ul. Olszewskiego, Kraków, Poland"
69,"ul. Polonijna, Kraków, Poland"
70,"ul. Tyrczanka, Kraków, Poland"
71,"ul. Stradomska, Kraków, Poland"
72,"ul. Nowohucka, Kraków, Poland"
73,"ul. Słowackiego Juliusza, Kraków, Poland"
74,"ul. Wapowskiego Bernarda, Kraków, Poland"
75,"ul. Teligi Leonida, Kraków, Poland"
76,"ul. Limanowskiego Bolesława, Kraków, Poland"
77,"ul. Solówki, Kraków, Poland"
78,"ul. Klasztorna, Kraków, Poland"
79,"ul. Dróżnicka, Kraków, Poland"
80,"ul. Stella, Kraków, Poland"
81,"ul. Światowida, Kraków, Poland"
82,"ul. Hollendra Tadeusza, Kraków, Poland"
83,"ul. Facimiech, Kraków, Poland"
84,"ul. Szymanowskiego Karola, Kraków, Poland"
85,"ul. Reymonta Władysława, Kraków, Poland"
86,"ul. Jakubowskiego Macieja, Kraków, Poland"
87,"ul. Stoczniowców, Kraków, Poland"
88,"ul. Nałkowskiej Zofii, Kraków, Poland"
89,"ul. Zarzyckiego Wiesława, Kraków, Poland"
90,"ul. Białoprądnicka, Kraków, Poland"
91,"ul. Bukowa, Kraków, Poland"
92,"ul. Stolarska, Kraków, Poland"
93,"ul. Jędrzejczyka Ludwika, Kraków, Poland"
94,"ul. Reymana Henryka, Kraków, Poland"
95,"ul. Rokosza Stanisława, Kraków, Poland"
96,"ul. Dominikański Plac, Kraków, Poland"
97,"ul. Szopkarzy, Kraków, Poland"
98,"ul. Ludwisarzy, Kraków, Poland"
99,"ul. Kurczaba, Kraków, Poland"
100,"ul. Niemcewicza Juliana Ursyna, Kraków, Poland"
101,"ul. Kiełkowskiego Romana, Kraków, Poland"
102,"ul. Zimorowicza Szymona, Kraków, Poland"
103,"ul. Kolonijna, Kraków, Poland"
104,"ul. 3 Maja Al., Kraków, Poland"
105,"ul. Zdunów, Kraków, Poland"
106,"ul. Kułakowskiego Henryka, Kraków, Poland"
107,"ul. Legionów Piłsudskiego, Kraków, Poland"
108,"ul. Chodowieckiego Daniela, Kraków, Poland"
109,"ul. Ściegiennego Piotra Ks., Kraków, Poland"
110,"ul. Lipowskiego Wojciecha, Kraków, Poland"
111,"ul. Koralowa, Kraków, Poland"
112,"ul. Konopnickiej Marii, Kraków, Poland"
113,"ul. Pijarska, Kraków, Poland"
114,"ul. Malinowa, Kraków, Poland"
115,"ul. Kluzeka Piotra, Kraków, Poland"
116,"ul. Poselska, Kraków, Poland"
117,"ul. 29 Listopada Al., Kraków, Poland"
118,"ul. Jana Pawła II al., Kraków, Poland"
119,"ul. Piasta Kołodzieja, Kraków, Poland"
120,"ul. Krasickiego Ignacego, Kraków, Poland"
121,"ul. Potoczek, Kraków, Poland"
122,"ul. Miła, Kraków, Poland"
123,"ul. Turonia, Kraków, Poland"
124,"ul. Turowiec, Kraków, Poland"
125,"ul. Owsiana, Kraków, Poland"
126,"ul. Konopnickiej, Kraków, Poland"
127,"ul. Ogrodowa, Kraków, Poland"
128,"ul. Żabia, Kraków, Poland"
129,"ul. Stolarza, Kraków, Poland"
130,"ul. Przełęcz, Kraków, Poland"
131,"ul. Zientary Michała, Kraków, Poland"
132,"ul. Paszkowskiego Franciszka Generała, Kraków, Poland"
133,"ul. Lubomirskiego Aleksandra, Kraków, Poland"
134,"ul. Kalinowskiego Rafała Św., Kraków, Poland"
135,"ul. Starowiślna, Kraków, Poland"
136,"ul. Syrokomli Władysława, Kraków, Poland"
137,"ul. Dekarzy, Kraków, Poland"
138,"ul. Miejscowa, Kraków, Poland"
139,"ul. Zaborze, Kraków, Poland"
140,"ul. Goryczkowa, Kraków, Poland"
141,"ul. Zefirowa, Kraków, Poland"
142,"ul. Podhalańska, Kraków, Poland"
143,"ul. Łaczka Mariana Ks., Kraków, Poland"
144,"ul. Drożdżowa, Kraków, Poland"
145,"ul. Jana Pawła II, Kraków, Poland"
146,"ul. Jasieńskiego Feliksa, Kraków, Poland"
147,"ul. Pochwalskiego Kazimierza, Kraków, Poland"
148,"ul. Nowowiejska, Kraków, Poland"
149,"ul. Jerzmanowskiego Erazma, Kraków, Poland"
150,"ul. Pawia, Kraków, Poland"
151,"ul. Rybitwy, Kraków, Poland"
152,"ul. Na Mostkach, Kraków, Poland"
153,"ul. Jagiellońska, Kraków, Poland"
154,"ul. Floriańska, Kraków, Poland"
155,"ul. Medyczna, Kraków, Poland"
156,"ul. Sapalskiego Franciszka, Kraków, Poland"
157,"ul. Gajowa, Kraków, Poland"
158,"ul. Krakowska, Kraków, Poland"
159,"ul. Danka Wincentego, Kraków, Poland"
160,"ul. Kokotowska, Kraków, Poland"
161,"ul. Śliwy Leopolda, Kraków, Poland"
162,"ul. Smoluchowskiego Mariana, Kraków, Poland"
163,"ul. Andersa Władysława Gen., Kraków, Poland"
164,"ul. Nowa Górka, Kraków, Poland"
165,"ul. Prusa Bolesława, Kraków, Poland"
166,"ul. Rybianka, Kraków, Poland"
167,"ul. Jarzynowa, Kraków, Poland"
168,"ul. Ważewskiego Tadeusza, Kraków, Poland"
169,"ul. Żwirowa, Kraków, Poland"
170,"ul. Komorowskiego Bolesława, Kraków, Poland"
171,"ul. Gertrudy Św., Kraków, Poland"
172,"ul. Jordanowska, Kraków, Poland"
173,"ul. Rynek Główny, Kraków, Poland"
174,"ul. Na Zrębie, Kraków, Poland"
175,"ul. Szewska, Kraków, Poland"
176,"ul. Janowa Wola, Kraków, Poland"
177,"ul. Okrzei Stanisława, Kraków, Poland"
178,"ul. Kocmyrzowska, Kraków, Poland"
179,"ul. Żywiecka, Kraków, Poland"
180,"ul. Basztowa, Kraków, Poland"
181,"ul. Nad Serafą, Kraków, Poland"
182,"ul. Warszawska, Kraków, Poland"
183,"ul. Senatorska, Kraków, Poland"
184,"ul. Benedykta Cesarza, Kraków, Poland"
185,"ul. Kawiory, Kraków, Poland"
186,"ul. Straszewskiego, Kraków, Poland"
187,"ul. Ujejskiego Kornela, Kraków, Poland"
188,"ul. Dekerta Jana, Kraków, Poland"
189,"ul. Brandla Konstantego, Kraków, Poland"
190,"ul. Maciejkowa, Kraków, Poland"
191,"ul. Montwiłła, Kraków, Poland"
192,"ul. Filarecka, Kraków, Poland"
193,"ul. Kminkowa, Kraków, Poland"
194,"ul. Słomczyńskiego Macieja, Kraków, Poland"
195,"ul. Centralny Plac, Kraków, Poland"
196,"ul. Suche Łąki, Kraków, Poland"
197,"ul. Karmelicka, Kraków, Poland"
198,"ul. Lniana, Kraków, Poland"
199,"ul. Na Budzyniu, Kraków, Poland"
200,"ul. Huculska, Kraków, Poland"
201,"ul. Azaliowa, Kraków, Poland"
202,"ul. Fałata Juliana, Kraków, Poland"
203,"ul. Tomasza św, Kraków, Poland"
204,"ul. Szymkiewicza Dezyderego, Kraków, Poland"
205,"ul. Srebrnych Orłów, Kraków, Poland"
206,"ul. Proszowicka, Kraków, Poland"
207,"ul. Kanonicza, Kraków, Poland"
208,"ul. Ziobrowskiego Stefana, Kraków, Poland"
209,"ul. Przedwiośnie, Kraków, Poland"
210,"ul. Mierzeja Wiślana, Kraków, Poland"
211,"ul. Zagumnie, Kraków, Poland"
212,"ul. Zielone Wzgórze, Kraków, Poland"
213,"ul. Okulickiego Leopolda Gen., Kraków, Poland"
214,"ul. Republiki Korczakowskiej, Kraków, Poland"
215,"ul. Studniarskiego Jana, Kraków, Poland"
216,"ul. Tęczowa, Kraków, Poland"
217,"ul. Czyżewskiego Tytusa, Kraków, Poland"
218,"ul. Królowej Jadwigi, Kraków, Poland"
219,"ul. Bracka, Kraków, Poland"
220,"ul. Lea Juliusza, Kraków, Poland"
221,"ul. Piłsudskiego Józefa, Kraków, Poland"
222,"ul. Niecała, Kraków, Poland"
223,"ul. Błotniska, Kraków, Poland"
224,"ul. Skrajna, Kraków, Poland"
225,"ul. Bieńczycka, Kraków, Poland"
226,"ul. Porzeczkowa, Kraków, Poland"
227,"ul. Dąbrowskiej Marii, Kraków, Poland"
228,"ul. Telimeny, Kraków, Poland"
229,"ul. Krępy Aleksandra, Kraków, Poland"
230,"ul. Konopna, Kraków, Poland"
231,"ul. Łobzowska, Kraków, Poland"
232,"ul. Szpitalna, Kraków, Poland"
233,"ul. Podgórska, Kraków, Poland"
234,"ul. Sucharskiego Henryka majora, Kraków, Poland"
235,"ul. Długa, Kraków, Poland"
236,"ul. Rakowicka, Kraków, Poland"
237,"ul. Dąbrówki, Kraków, Poland"
238,"ul. Lubicz, Kraków, Poland"
239,"ul. Mogiłki, Kraków, Poland"
240,"ul. Krochmalniki, Kraków, Poland"
241,"ul. Dunikowskiego Xawerego, Kraków, Poland"
242,"ul. Kącik, Kraków, Poland"
243,"ul. Reformacka, Kraków, Poland"
244,"ul. Dominikańska, Kraków, Poland"
245,"ul. Oleandry, Kraków, Poland"
246,"ul. Grodzka, Kraków, Poland"
247,"ul. Anny Św., Kraków, Poland"
248,"ul. Obronna, Kraków, Poland"
249,"ul. Wita Stwosza, Kraków, Poland"
250,"ul. Morawskiego Kazimierza, Kraków, Poland"
251,"ul. Pigonia Stanisława, Kraków, Poland"
252,"ul. Łukasińskiego Waleriana, Kraków, Poland"
253,"ul. Bliska, Kraków, Poland"
254,"ul. Podwale, Kraków, Poland"
255,"ul. Dunin, Kraków, Poland"
256,"ul. Lublańska, Kraków, Poland"
257,"ul. Jabłonna, Kraków, Poland"
258,"ul. Lema Stanisława, Kraków, Poland"
259,"ul. Krokusowa, Kraków, Poland"
260,"ul. Dietla Józefa, Kraków, Poland"
261,"ul. Na Kozłówce, Kraków, Poland"
262,"ul. Maja Franciszka Ks., Kraków, Poland"
263,"ul. Vetulaniego Adama, Kraków, Poland"
264,"ul. Jasna, Kraków, Poland"
265,"ul. Szczerbińskiego Karola, Kraków, Poland"
266,"ul. Wszystkich Świętych pl, Kraków, Poland"
267,"ul. Kłuszyńska, Kraków, Poland"
268,"ul. Heleny, Kraków, Poland"
269,"ul. Ślósarczyka Leona, Kraków, Poland"
270,"ul. Tretówka, Kraków, Poland"
271,"ul. Szafirowa na dł. 0,26km, Kraków, Poland"
272,"ul. Salwatorska, Kraków, Poland"
273,"ul. Gołębia, Kraków, Poland"
274,"ul. Ofiar Dąbia, Kraków, Poland"
275,"ul. Jana Św., Kraków, Poland"
276,"ul. Jęczmienna, Kraków, Poland"
277,"ul. Jagodowa, Kraków, Poland"
278,"ul. Szeroka, Kraków, Poland"
279,"ul. Prądnicka, Kraków, Poland"
280,"ul. Łuczyńskiego Zygmunta dr, Kraków, Poland"
281,"ul. Orlich Gniazd, Kraków, Poland"
282,"ul. Jaglarzów Michała i Stanisława, Kraków, Poland"
283,"ul. Dymnik, Kraków, Poland"
284,"ul. Szparagowa, Kraków, Poland"
285,"ul. Weigla Ferdynanda, Kraków, Poland"
286,"ul. Tokarska, Kraków, Poland"
287,"ul. Nawojki, Kraków, Poland"
288,"ul. Dębskiego Macieja, Kraków, Poland"
289,"ul. Sienna, Kraków, Poland"
290,"ul. Goplana, Kraków, Poland"
291,"ul. Wądół, Kraków, Poland"
292,"ul. Zaremby Stanisława, Kraków, Poland"
293,"ul. Papiernicza, Kraków, Poland"
294,"ul. Wewnętrzna, Kraków, Poland"
295,"ul. Marka Św., Kraków, Poland"
296,"ul. Wielicka, Kraków, Poland"
297,"ul. Mały Rynek, Kraków, Poland"
298,"ul. Zagrodzkiego Adolfa Ks., Kraków, Poland"
299,"ul. Kołaczy, Kraków, Poland"
300,"ul. Albatrosów, Kraków, Poland"
301,"ul. Schulza Brunona, Kraków, Poland"
302,"ul. Kraszewskiego Józefa Ignacego, Kraków, Poland"
303,"ul. Kotówka, Kraków, Poland"
304,"ul. Bukietowa, Kraków, Poland"
305,"ul. Lechonia Jana, Kraków, Poland"
306,"ul. Spółdzielców, Kraków, Poland"
307,"ul. Mickiewicza Adama Al., Kraków, Poland"
308,"ul. Koło Białuchy, Kraków, Poland"
309,"ul. Chlebiczna, Kraków, Poland"
310,"ul. Mała Góra, Kraków, Poland"
311,"ul. Skotnica, Kraków, Poland"
312,"ul. Szczepańska, Kraków, Poland"
313,"ul. Kałuży Józefa, Kraków, Poland"
314,"ul. Przy Cegielni, Kraków, Poland"
315,"ul. Litawora, Kraków, Poland"
316,"ul. Ducha Św. Plac, Kraków, Poland"
317,"ul. Urzędnicza, Kraków, Poland"
318,"ul. Senacka, Kraków, Poland"
319,"ul. Konarskiego Stanisława, Kraków, Poland"
320,"ul. Kowalska, Kraków, Poland"
321,"ul. Wiślna, Kraków, Poland"
322,"ul. Przyjaźni Al., Kraków, Poland"
323,"ul. Bratysławska, Kraków, Poland"
324,"ul. Ćwiklińskiej Mieczysławy, Kraków, Poland"
325,"ul. Pod Pomnikiem, Kraków, Poland"
326,"ul. Barbary, Kraków, Poland"
327,"ul. Górka Narodowa, Kraków, Poland"
328,"ul. Bagrowa, Kraków, Poland"
329,"ul. Podzamcze, Kraków, Poland"
330,"ul. Kadrówki, Kraków, Poland"
331,"ul. Okólna, Kraków, Poland"
332,"ul. Głowackiego Bartosza, Kraków, Poland"
333,"ul. Micińskiego Tadeusza z rozwidleniem, Kraków, Poland"
334,"ul. Potrzask, Kraków, Poland"
335,"ul. Prandoty Jana Bp., Kraków, Poland"
336,"ul. Warchałowskiego Edwarda, Kraków, Poland"
337,"ul. Na Zjeździe, Kraków, Poland"
338,"ul. Bularnia, Kraków, Poland"
339,"ul. Medweckiego Mieczysława, Kraków, Poland"
340,"ul. Skromna, Kraków, Poland"
341,"ul. Westerplatte, Kraków, Poland"
342,"ul. Krasińskiego Zygmunta, Kraków, Poland"
343,"ul. Plac Inwalidów, Kraków, Poland"
344,"ul. Na Chałupkach, Kraków, Poland"
345,"ul. Borelowskiego, Kraków, Poland"
346,"ul. Natansona Władysława, Kraków, Poland"
347,"ul. Wrobela Feliksa, Kraków, Poland"
348,"ul. Chłodna, Kraków, Poland"
349,"ul. Witkowicka, Kraków, Poland"
350,"ul. Zgody, Kraków, Poland"
351,"ul. Jakubowskiego, Kraków, Poland"
352,"ul. Dunajewskiego Juliana, Kraków, Poland"
353,"ul. Konrada Wallenroda, Kraków, Poland"
354,"ul. Banacha Stefana, Kraków, Poland"
355,"ul. Bieżanowska, Kraków, Poland"
356,"ul. Kordylewskiego Kazimierza, Kraków, Poland"
357,"ul. Mariacki Plac, Kraków, Poland"
358,"ul. Piaseckiego Sergiusza, Kraków, Poland"
359,"ul. Piastowska, Kraków, Poland"
360,"ul. Polna, Kraków, Poland"
361,"ul. Północna, Kraków, Poland"
362,"ul. Ingardena Romana, Kraków, Poland"
363,"ul. Pasteura Ludwika, Kraków, Poland"
364,"ul. Idziego Św., Kraków, Poland"
